old,new
1 - Approvisionnement intérieur,1 - Domestic Supply
1 -Approvisionnement intérieur - Total,1 - Domestic Supply - Total
2 -Transfert,2 - Transfer
3 - Ecarts statistiques,3 - Statistical Differences
4 - Transformation - Total,4 - Transformation - Total
4 - Transformation,4 - Transformation
5 - Consommation finale - Total,5 - Final Consumption - Total
5 - Consommation finale,5 - Final Consumption
6 - Electricité produite - Total (MWh),6 - Electricity Generation - Total (MWh)
6 - Electricité produite,6 - Electricity Generation
1_1 - Production,1_1 - Production
1_2 - Importations,1_2 - Imports
1_3 - Exportations,1_3 - Exports
1_4 - Soutages aeriennes  internationales,1_4 - International Aviation Bunkers
1_5 - Soutages maritimes internationaux,1_5 - International Marine Bunkers
1_6 - Variation de stocks,1_6 - Stock Changes
4_1 - Centrales électriques publiques,4_1 - Public Power Plants
4_2 - Autoproducteurs d'électricité,4_2 - Electricity Autoproducers
4_3 - Raffineries de pétrole,4_3 - Oil Refineries
4_4  - Production de charbon de bois,4_4 - Charcoal Production
4_5 - Secteur Energie,4_5 - Energy Sector
4_6 - Pertes de distribution,4_6 - Distribution Losses
5_1 - Industrie,5_1 - Industry
5_2 - Transport,5_2 - Transport
5_3 - Residentiel,5_3 - Residential
5_4 - Autres Secteurs,5_4 - Other Sectors
5_5 - Utilisations non énergétiques,5_5 - Non-energy Uses
6_1 - Electricité produite par les centrales publiques,6_1 - Electricity Generated by Public Power Plants
6_2 - Electricité produite par les autoproducteurs,6_2 - Electricity Generated by Autoproducers
6_3 - Electricité décentralisée (solaire),6_3 - Decentralized Electricity (Solar)
NA,NA
-,-
5_1_a - Sidérurgie,5_1_a - Iron and Steel
5_1_b - Industrie chimique et pétrochimique,5_1_b - Chemical and Petrochemical Industry
5_1_c - Produits minéraux non métalliques,5_1_c - Non-metallic Mineral Products
5_1_d - Industrie alimentaire et tabacs,5_1_d - Food Industry and Tobacco
5_1_e - Construction,5_1_e - Construction
5_1_f - Textiles et cuir,5_1_f - Textiles and Leather
5_1_g - Non spécifié (Industrie),5_1_g - Unspecified (Industry)
Total Industrie,Total Industry
5_2_a - Aérien,5_2_a - Aviation
5_2_b - Routier,5_2_b - Road
5_2_d - Navigation intérieure,5_2_d - Inland Navigation
Total Transport,Total Transport
5_3_a - Agriculture,5_3_a - Agriculture
5_3_b - Services marchands et publics,5_3_b - Commercial and Public Services
5_3_c - Non spécifié (Autres),5_3_c - Unspecified (Other)
Total Autres Secteurs,Total Other Sectors
Bois de Feu,Fuelwood
Charbon de Bois,Charcoal
Résidus agricoles ou déchets - Bagasse,Agricultural Residues or Waste - Bagasse
Résidus agricoles ou déchets - Coque d'arachide,Agricultural Residues or Waste - Peanut Shell
Gaz Naturel,Natural Gas
Naphta,Naphtha
Essence,Gasoline
Diesel & gazole,Diesel & Gas Oil
Fioul,Fuel Oil
Carburéacteur,Jet Fuel
Pétrole Lampant,Kerosene
GPL,LPG
Vapeur Fatale (SOUFRE),Waste Steam (Sulfur)
Energie Solaire,Solar Energy
Energie Eolienne,Wind Energy
Electricité Thermique,Thermal Electricity
TOTAL Electricité,Total Electricity
Charbon (Houille),Coal (Hard Coal)
Pétrole Brut,Crude Oil
Autres Produits Pétroliers,Other Petroleum Products
Hydro,Hydropower
